"OrigZoneNo","DestZoneNo","HBU_PA"
8389,"8253",1.49409953822473
8382,"8253",2.98819907644946
8397,"8253",8.96459722934838
8358,"8253",7.47049769112365
8353,"8253",7.47049769112365
8343,"8253",19.4232939969215
8345,"8253",8.96459722934838
8325,"8253",13.4468958440226
8347,"8253",4.48229861467419
8375,"8253",8.96459722934838
8349,"8253",13.4468958440226
8333,"8253",11.9527963057978
8352,"8253",8.96459722934838
8374,"8253",4.48229861467419
8367,"8253",7.47049769112365
8341,"8253",14.9409953822473
8356,"8253",4.48229861467419
8348,"8253",4.48229861467419
8359,"8253",7.47049769112365
8346,"8253",1.49409953822473
8363,"8253",17.9291944586968
8337,"8253",7.47049769112365
8362,"8253",1.49409953822473
8330,"8253",4.48229861467419
8318,"8253",8.96459722934838
8311,"8253",14.9409953822473
8329,"8253",8.96459722934839
8328,"8253",10.4586967675731
8388,"8253",4.48229861467419
8393,"8253",4.48229861467419
8391,"8253",4.48229861467419
8310,"8253",141.939456131349
8316,"8253",8.96459722934838
8332,"8253",20.9173935351462
8304,"8253",210.668034889687
8364,"8253",137.457157516675
8335,"8253",50.7993842996408
8321,"8253",19.4232939969215
8338,"8253",118.033863519754
8340,"8253",107.575166752181
8360,"8253",46.3170856849666
8376,"8253",55.281682914315
8268,"8253",152.398152898923
8273,"8253",19.4232939969215
8254,"8253",334.67829656234
8278,"8253",83.6695741405849
8281,"8253",20.9173935351462
8282,"8253",137.457157516675
8301,"8253",170.327347357619
8291,"8253",71.7167778347871
8298,"8253",41.8347870702925
8271,"8253",94.1282709081581
8299,"8253",146.421754746024
8283,"8253",2.98819907644946
8257,"8253",124.010261672653
8253,"8253",141.939456131349
8243,"8253",94.128270908158
8272,"8253",34.3642893791688
8248,"8253",107.575166752181
8238,"8253",203.197537198563
8247,"8253",76.1990764494613
8249,"8253",2.98819907644946
8290,"8253",31.3760903027193
8302,"8253",16.435094920472
8288,"8253",49.3052847614161
8294,"8253",20.9173935351462
8279,"8253",31.3760903027193
8308,"8253",64.2462801436634
8334,"8253",13.4468958440226
8314,"8253",8.96459722934838
8284,"8253",2.98819907644946
8336,"8253",13.4468958440226
8303,"8253",23.9055926115957
8313,"8253",31.3760903027193
8305,"8253",16.435094920472
8319,"8253",7.47049769112365
8322,"8253",47.8111852231914
8326,"8253",22.411493073371
8289,"8253",2.98819907644946
8285,"8253",11.9527963057978
8300,"8253",19.4232939969215
8317,"8253",7.47049769112365
8312,"8253",143.433555669574
8293,"8253",46.3170856849667
8350,"8253",29.8819907644946
8296,"8253",38.846587993843
8307,"8253",17.9291944586968
8292,"8253",115.045664443304
8315,"8253",106.081067213956
8265,"8253",14.9409953822473
8244,"8253",22.411493073371
8270,"8253",25.3996921498204
8256,"8253",143.433555669574
8251,"8253",7.47049769112365
8259,"8253",41.8347870702925
8262,"8253",19.4232939969215
8250,"8253",20.9173935351462
8252,"8253",83.6695741405849
8246,"8253",8.96459722934838
8258,"8253",97.1164699846075
8267,"8253",62.7521806054387
8263,"8253",55.281682914315
8240,"8253",14.9409953822473
8221,"8253",11.9527963057978
8218,"8253",8.96459722934838
8255,"8253",322.725500256542
8209,"8253",79.1872755259107
8211,"8253",174.809645972294
8208,"8253",53.7875833760903
8213,"8253",177.797845048743
8210,"8253",104.586967675731
8215,"8253",53.7875833760903
8216,"8253",64.2462801436634
8217,"8253",50.7993842996408
8232,"8253",29.8819907644946
